run,run_short,raw_step,effective_step,metric,value
Pure Stage1 beta=0.1,stage1,83,83,response length mean,409.1484375
Pure Stage1 beta=0.1,stage1,83,83,response clip ratio,0.017578125
Pure Stage1 beta=0.1,stage1,83,83,rollout correct ratio,0.54296875
Pure Stage1 beta=0.1,stage1,83,83,actor grad norm,34.08625793457031
Pure Stage1 beta=0.1,stage1,84,84,response length mean,373.908203125
Pure Stage1 beta=0.1,stage1,84,84,response clip ratio,0.015625
Pure Stage1 beta=0.1,stage1,84,84,rollout correct ratio,0.576171875
Pure Stage1 beta=0.1,stage1,84,84,actor grad norm,30.73023796081543
Pure Stage1 beta=0.1,stage1,85,85,response length mean,353.802734375
Pure Stage1 beta=0.1,stage1,85,85,response clip ratio,0.005859375
Pure Stage1 beta=0.1,stage1,85,85,rollout correct ratio,0.5703125
Pure Stage1 beta=0.1,stage1,85,85,actor grad norm,30.85222625732422
Pure Stage1 beta=0.1,stage1,86,86,response length mean,416.404296875
Pure Stage1 beta=0.1,stage1,86,86,response clip ratio,0.021484375
Pure Stage1 beta=0.1,stage1,86,86,rollout correct ratio,0.451171875
Pure Stage1 beta=0.1,stage1,86,86,actor grad norm,35.72167205810547
Pure Stage1 beta=0.1,stage1,87,87,response length mean,309.9921875
Pure Stage1 beta=0.1,stage1,87,87,response clip ratio,0.00390625
Pure Stage1 beta=0.1,stage1,87,87,rollout correct ratio,0.583984375
Pure Stage1 beta=0.1,stage1,87,87,actor grad norm,44.56118392944336
Pure Stage1 beta=0.1,stage1,88,88,response length mean,443.01171875
Pure Stage1 beta=0.1,stage1,88,88,response clip ratio,0.02734375
Pure Stage1 beta=0.1,stage1,88,88,rollout correct ratio,0.51171875
Pure Stage1 beta=0.1,stage1,88,88,actor grad norm,34.94450759887695
Pure Stage1 beta=0.1,stage1,89,89,response length mean,336.84375
Pure Stage1 beta=0.1,stage1,89,89,response clip ratio,0.015625
Pure Stage1 beta=0.1,stage1,89,89,rollout correct ratio,0.71484375
Pure Stage1 beta=0.1,stage1,89,89,actor grad norm,28.02797508239746
Pure Stage1 beta=0.1,stage1,90,90,response length mean,331.31640625
Pure Stage1 beta=0.1,stage1,90,90,response clip ratio,0.001953125
Pure Stage1 beta=0.1,stage1,90,90,rollout correct ratio,0.517578125
Pure Stage1 beta=0.1,stage1,90,90,actor grad norm,38.249935150146484
Pure Stage1 beta=0.1,stage1,91,91,response length mean,361.654296875
Pure Stage1 beta=0.1,stage1,91,91,response clip ratio,0.0234375
Pure Stage1 beta=0.1,stage1,91,91,rollout correct ratio,0.638671875
Pure Stage1 beta=0.1,stage1,91,91,actor grad norm,29.583633422851562
Pure Stage1 beta=0.1,stage1,92,92,response length mean,302.00390625
Pure Stage1 beta=0.1,stage1,92,92,response clip ratio,0.0078125
Pure Stage1 beta=0.1,stage1,92,92,rollout correct ratio,0.615234375
Pure Stage1 beta=0.1,stage1,92,92,actor grad norm,30.211971282958984
Pure Stage1 beta=0.1,stage1,93,93,response length mean,353.5859375
Pure Stage1 beta=0.1,stage1,93,93,response clip ratio,0.0078125
Pure Stage1 beta=0.1,stage1,93,93,rollout correct ratio,0.517578125
